"Titel","Omschrijving","datum","begin","einde","Plaats","Indoor","deelnemers"
"Travestieshow Les Folles de Gand","Travestieshow onder leiding van Miss Michelle. Glitter, glamour en humor. Sketches met Cabaret oester. Stemmenimitator Steve Ryckier. Airco in de zaal en hapjes te verkrijgen. Géén show op 17 juli",21/07/2011,"20:30","23:15","Centrum Reinaert, Reinaertstraat 28, Gent",1,1000
"Filmvoorstelling ""An inconvenient Truth""","De gefilmde presentatie waarmee Al gore de wereld rondtrok om zijn ongerustheid te ventileren over klimaatverandering en zijn gevolgen...",21/07/2011,"10:30","12:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"Openluchtatelier/kunstmarkt","Openluchtatelier met demonstaties van verschillende beeldende kunstenaars   (tekenaars,schilders,portrettekenaars,karikarturen enz.)",24/07/2011,"10:00","19:00","Groentenmarkt, Groentenmarkt , ",0,50
"Museumspel KidKastKraak","Aan de hand van 3 koffers en een kast verkennen de leerlingen de expo WereldWijdWerken. Zij zijn gevuld met bezittingen van Kristel en haar grootouders. Elk voorwerp stuurt de kinderen op pad. Vanaf 6 jaar.",24/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,50
"Vieze Verol Tjes - Compagnie KAiET (BE) - € 9","‘Witte Peper’ is het eerste deel van Geert Hautekiet’s Trilogie van de Vieze Verol Tjes. Een meesterlijke eenmansshow van muzikale vertellingen rond vieze verhaaltjes.",24/07/2011,"20:30","22:00","Sportschuur, Regattenlaan 8, Gent",0,50
"Janet Van Biesen, Ambeijoris & Gay Hancock","Zaal: Electro / House door Charlatan residents & De man achter Stubru",25/07/2011,"01:00","05:55","Charlatan, Vlasmarkt 6, Gent",0,1000
"De Etnografische Verzamelingen. De oudste collectie etnografische artefacten van Vlaanderen!","De Etnografische Verzamelingen van de Universiteit, het best bewaarde geheim van Gent, nu weer open voor publiek tijdens de Gentse Feesten!   Collecties van internationaal niveau in een middeleeuws klooster. Met tijdelijke expo's over China en Afrika!",16/07/2011,"11:00","17:00","Het Pand, Onderbergen 1, Gent",0,50
"Philippe Pierloot, viola da gamba & Romina Lischka, viola da gamba","Hume, Corkine, Locke, De Ste Colombe, Schenck",17/07/2011,"15:00","16:30","Refter van de Sint-Baafsabdij, Gandastraat zn, Gent",0,1000
"Kunst ten huize van Valérie van Pottelsberghe de la Potterie.","Het publiek maakt enkele scènes mee uit het leven van gravin Valérie Van Pottelsberghe de la Potterie en haar dochter Lucie in 1888.",23/07/2011,"14:00","16:00","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,50
"Het Stadhuis. Vrij bezoek.","Vanaf de middeleeuwen tot de Brabantse Omwenteling bestuurden 2 schepenbanken de stad: de schepenen van de Keure en van Gedele. Zij hadden een rechterlijke functie maar waren ook verantwoordelijk voor het dagelijks bestuur en de financiën.",17/07/2011,"14:00","19:00","Stadhuis, Botermarkt 1, Gent",0,1000
"Optreden van Willy Bart","Muzikaal entertainment met Willy Bart.   Deuren open vanaf 14u.  Optreden voorzien met pannenkoek en koffie",18/07/2011,"15:30","18:30","Locaal Dienstencentrum de Thuishaven, Neuseplein 33, Gent",1,100
"Taminco Internationaal Schaaktornooi van Gent","Heeft plaats van 16 t/m 20 juli 2011, 9 ronden Zwitsers systeem, partijen 2 uur KO, prijzengeld 6875€ bij 300 deelnemers, eerste prijs 1800€ gegarandeerd? Dit traditioneel open tornooi heeft plaats in de week van de Gentse Feesten.",20/07/2011,"13:00","23:00","Sint Barbaracollege, Savaanstraat 33, Gent",1,50
"De Mannen","Het sluitstuk van de trilogie ‘de Soprano’s van Ledeberg'",24/07/2011,"20:00","21:30","Minardschouwburg, Walpoortstraat 15, Gent",0,50
"Tentoonstelling : "" Spiegeltje spiegeltje aan de wand...""","Een tentoonstelling waarbij we teruggaan naar het jaar 1925.Een presentatie uit de collectie van handgemaakte kleren en fantastische hoeden van Vivien Delbaere.",17/07/2011,"14:00","17:00","School van Toen, Klein Raamhof 8, Gent",0,50
"Neuzen in historisch Gent (zoektocht zonder gids)","Onder het wakende oog van de draak op het Belfort, ga je op ontdekking in de stad, langs grote monumenten en onbekende pareltjes.",19/07/2011,"00:00","00:00","Sint-Veerleplein /, Gent",0,50
"Romantic Paddling","Romantische rondvaart in de oude Gentse binnenstad met een Canadese kano, al dan niet voorzien van een bubbeltje.  Voor mensen met een sportieve ingesteldheid en zin voor avontuur en cultuur.",21/07/2011,"10:00","19:00","Sint Michielsbrug, Predikherenlei 2, Gent",0,50
"MiramirO laat je vliegen - Aérosculpture (FR) - € 3 (ter plaatse)","De Aéroplume komt naar Gent! Op 21 juli 2011 tonen de mannen van Aérosculpture hoe het moet. De volgende dagen mogen kinderen zelf vliegen met de zeppelin in ’t Kuipke. Gewoon komen kijken kan natuurlijk ook!",22/07/2011,"10:00","12:00","'t Kuipke, Citadelpark z/n, Gent",0,50
"Leute!","Theaterfenomeen Jozef (Sef) Vanneste in een menselikke vwoorstellinge uut het leven gegrepen, met ne lach en ne troan. Wok toegankelijk en begrijpelijk voe niet-West-Vlamingen wei!",18/07/2011,"15:00","16:00","Tinnenpot, Tinnenpotstraat 21, Gent",1,100
"Ontbijt met Stadswandeling","Elke dag een historische wandeling. info: www.dekorf.be of info@gidsenbond-gent.be",23/07/2011,"08:00","12:30","Bar Oh, Hoogstraat 88, Gent",1,50
"Rondvaart ""Gent compleet"" + gratis ijsje. Duur 90 min.","1000 jaar architectuur en verhalen. Leuke & grondige verkenning van héél de stad, met gids per boot. Ook vaart u onder 't Laurentplein. Boottocht op Leie, Lieve, Ketelvaart & Schelde. Tickets afhalen vanaf 1 uur vóór afvaart.",17/07/2011,"14:00","15:30","Aanlegsteiger De Bootjes van Gent-Rederij Dewaele, Korenlei , Gent",0,1000
"Leven in Gent/Dallas","Leven in Gent/Dallas - een andere kijk op wonen. De bezoekers van de feesten leren een ander Gent met zijn bewoners kennen. Een Gent voorbij de feestkern die onze perceptie in vraag stelt over hoe wij een sociale woonwijk beleven.",19/07/2011,"14:00","20:00","Ons Huis - Fernandezzaal, Vrijdagmarkt 9, Gent",0,1000
"Expo 'Katoenkabaal'","Gent was ooit de rumoerigste van de Vlaamse textielsteden. In het MIAT zie je de evolutie van katoenplant tot afgewerkt product. Ontdek ook de vele eigenschappen van textielvezels en het hoogtechnologisch textiel.",19/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"South Of The Border","Gratis caféconcert: Instrumentale Zalige Zondag band met o.a. Frederik Van Den Berghe, Bruno De Groote en Tom Callens",20/07/2011,"21:00","22:00","Charlatan, Vlasmarkt 6, Gent",0,1000
"Broodje Gent: Culinair Patershol","Wil je eens iets anders dan saaie boterhammen uit je brooddoos? Laat je dan verleiden door Broodje Gent. Wij bezorgen je een originele middagpauze en nemen je twee uurtjes mee het Patershol in.",21/07/2011,"12:00","14:00","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"Historische rondvaart doorheen het middeleeuwse centrum + gratis ijsje. Duur: 50 min.","Gent centrum per boot. Gids aan boord. Om de 15 minuten vertrekt er een boot.",22/07/2011,"10:00","00:00","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,1000
"Leute","Theaterfenomeen SEF (wok bekend als Jozef Vanneste). Een menselikke vwoorstellinge uut het leven gegrepen, met ne lach en ne troan wok toegankelijk en begrijpelijk voe niet-West-Vlaomingen wei! Ge moe geweun kom! tot ton",16/07/2011,"22:00","23:20","Tinnenpot, Tinnenpotstraat 21, Gent",0,100
"Marvelas Something","Gratis caféconcert: Zalige Zondag legendes – ex-Members of Marvelas",19/07/2011,"23:00","00:00","Charlatan, Vlasmarkt 6, Gent",0,1000
"Radio 2 Avondpost live (16-18)","feestelijke live radio vanop en over  de Gentse Feesten met verrassende studio gasten",18/07/2011,"16:00","18:00","Botermarkt, afspraak aan de trappen voor het stadhuis, Botermarkt z/n, Gent",0,50
"Hotel Jarretelle","De langbenige Pascale Platel verhuurt u graag een kamer voor de nacht en gluurt met u door het sleutelgat naar haar extravagante gasten. Delicieuse dames, burlesque bunnies en drinks on the rocks, welkom in onze cabareteske suite deluxe!",23/07/2011,"22:00","23:30","Balzaal, Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",23/07/2011,"15:15","16:00","Sint-Baafssite, Gandastraat , Gent",0,50
"'Rechtspraak en gerechtigheid.' Themarondleiding in het Stadhuis.","In het stadhuis werd vroeger recht gesproken. Opvallend is het labyrint in de Pacificatiezaal. Die banmijl kon een aantal keren worden afgelegd als straf voor sommige overtreders van de wet.",19/07/2011,"14:30","15:15","Stadhuis, Botermarkt 1, Gent",0,50
"Kruiden voor geluk en gezondheid.","Geluk en gezondheid in een doosje is een nieuw project van Winiefred.",18/07/2011,"13:00","15:00","De wereld van Kina: de Tuin, Berouw 55, Gent",0,100
"Tentoonstelling Schilderwerk Michael Samuel Lucifer Vandorpe","Expositie van abstracte landschapsschilderijen, olieverf op canvas. Een selectie schilderijen en nieuw werk van Michael Samuel Lucifer Vandorpe. In Visart, Contemporary VISions on ART. Elke feestendag opendeur van 15 uur tot 20 uur.",25/07/2011,"15:00","20:00","Visart, Visserij 8, Gent",0,50
"Goe Bezig!","Martin zwiept zijn bezem doorheen de heetste hangijzers die ons dagelijks schaamteloos worden aangereikt. De Dalai Lama, Luc Versteylen, Roger Van Gheluwe - en verder veel ander nieuws over onze politici en over uzelf...",23/07/2011,"19:30","20:45","Zaal Ovaki, Ham 139, Gent",0,50
"The Julian's New Orleans Jazz Friends","Aperitiefconcert alle dagen van de Gentse Feesten in de foyer van Theater Scala. In de prijs is een aperitief inbegrepen!",21/07/2011,"10:00","13:00","Theater SCALA, Dendermondsesteenweg 163-165, Gent",1,50
"Bezoek aan De Gentse Barge","De Gentse barge kan vrij bezocht worden vanaf 15u00 tot middernacht.  Bovendek: bar + aperitiefconcerten in de vooravond  Benedendek: tafelen met Foodsie vanaf 18u00 tot 23u00, reservatie aan te raden.'s Middags enkel voor groepen en op reservatie.",20/07/2011,"15:00","23:00","Aanmeerplaats :, Kraanlei , Gent",1,100
"Expo 'Katoenkabaal'","Gent was ooit de rumoerigste van de Vlaamse textielsteden. In het MIAT zie je de evolutie van katoenplant tot afgewerkt product. Ontdek ook de vele eigenschappen van textielvezels en het hoogtechnologisch textiel.",18/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"Radio 2 Avondpost live (16-18)","feestelijke live radio vanop en over  de Gentse Feesten met verrassende studio gasten",22/07/2011,"16:00","18:00","Botermarkt, afspraak aan de trappen voor het stadhuis, Botermarkt z/n, Gent",0,50
"Leiecruise met vrije wandeling te Sint-Martens-Latem","Leietocht met de Beneluxboot op de schilderachtige Leie met één uur stop te Sint-Martens-Latem. Inscheping tussen 12u00 en 12u45. Afvaart om 13u00. Stop te Latem tussen 15u00 en 16u00.Terug in Gent om 17u30. Mogelijkheid tot lunch mits reservatie vooraf.",23/07/2011,"12:00","17:30","Benelux Rederij, Recollettenlei 32, Gent",1,100
"La vie tendre et cruelle des animaux sauvages (Cie Azeïn, FR)","Verbluffende luchtacrobatie en opzwepende ritmes vermengd met humor, woede en tederheid om de link tussen dier, mens, ruimte en macht te onderzoeken. De artiesten studeerden in 2010 af aan CNAC (Frankrijk) en spelen vandaag hun Belgische première.",20/07/2011,"18:00","18:40","Baudelopark, Bibliotheekstraat 7, Gent",0,1000
"Het Gentse Montmartre - Vlerickschool","een rustpunt in de drukte van de Gentse feesten. Een plein met een authentiek kader. U kan er rustig flaneren tussen de kunstenaars en luisteren naar Franse chansons. Genieten van optredens door zangers en goochelaar. Brunch vanaf 10h",23/07/2011,"10:00","23:50","Binnentuin Vlerickschool, Seminariestraat 10, Gent",0,50
"de STAD, de STRATEN, de HUIZEN, de MENSEN","Frank Degruyter neemt je mee voor een verrassende vertelwandeling door een stuk Gent dat bekend lijkt maar het niet echt is. Met verhalen over wonen, liefhebben en verloren lopen in Gent. Wandelen en luisteren naar het verhaal van een heerlijke stad.",23/07/2011,"10:30","12:30","Bijlokehof, Bijlokehof 6, Gent",0,50
"Diafaan V. Hedendaagse glaskunst in het Sint-Elisabethbegijnhof te Sint-Amandsberg","Rondleiding in de tentoonstelling 'Diafaan V' waarbij op verschillende locaties in het begijnhof van Sint-Amandsberg, die voor de gelegenheid opengesteld zijn, glaskunstenaars hun werk tentoon stellen.",22/07/2011,"15:00","17:00","Begijnhofkerk Sint-Elisabeth, Groot Begijnhof 67, Sint-Amandsberg",0,50
"Tomorrow is the Question | Collectie S.M.A.K.","S.M.A.K.stelt een deel van haar omvangrijke collectie tentoon.",19/07/2011,"10:00","18:00","S.M.A.K., Citadelpark 2, Gent",0,50
"DJ "")hewhoforgothehasalzzzheimer(""","Vaste waarde uit Magasin 4 verzorgt speciaal voor u een avond zonder muzikale oogkleppen.",25/07/2011,"23:00","05:00","Kinky Star, Vlasmarkt 9, Gent",0,50
"Kayaktocht","Twee-persoonkayaks liggen klaar aan het Rabot. Vandaar varen wij de Lieve op, langs de Graslei, richting Ketelvest om onder het Laurentplein de Schelde te bevaren en zo terug. De gids-kayaker vertelt over Gent en water. Reservatie verplicht!",16/07/2011,"16:00","18:00","RabotSluis, Bachtenwalle -, Gent",0,50
"Arm Gent","Gent mag terugkijken op een roemrijk verleden, maar hoe ging de stad doorheen de tijden om met armoede? Bedel wat geld bij elkaar voor schoenen, en treed even in de voetsporen van 'de kleine man' aan de zelfkant van de maatschappij.",18/07/2011,"10:30","12:00","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"Ongericht Enthousiasme","Ongericht Enthousiasme is het nieuwe cabarettrio van -in geen bepaalde volgorde- Michel Verkinderen, Kevin Bellemans en Philippe Verkinderen. Zij brengen verfrissend, flitsend en absurd zapcabaret.",16/07/2011,"19:30","20:45","Domzaal - Kunstencentrum Vooruit, Sint-Pietersnieuwstraat 23, Gent",0,1000
"Portus Ganda - NIEUW!","De Gentse jachthaven onthult de oudste geschiedenis van de stad: hier werd Gent gesticht, bij de samenvloeiing van Schelde en Leie. Parel van deze buurt is ongetwijfeld de eeuwenoude Sint-Baafsabdij.",22/07/2011,"10:30","12:00","Ingang Van Eyckzwembad, Veermanplein -, Gent",0,50
"Ginds, tussen de netels - NTGent (BE) - € 15 - € 18","Laat je meeslepen in deze hartverscheurende tragedie vol poëzie en rituelen, gedrenkt in een zuiderse vurigheid over een jonge bruid die op haar huwelijksdag ervan door gaat met haar minnaar. (De voorstelling loopt al vanaf 15 juli)",17/07/2011,"20:30","22:00","Plantentuin van de Universiteit Gent, Karel Lodewijk Ledeganckstraat 35, Gent",0,100
"Stephane Ginsburgh","Programma rond Jean Luc Fafchamps",18/07/2011,"16:00","17:00","KANTL, Koningstraat 18, Gent",0,50
"Assistentie voor personen met een handicap","Gedurende de volledige periode van de Gentse Feesten is er de mogelijkheid om een gratis assistent te vragen om personen met een handicap te begeleiden om zo de Gentse Feesten te kunnen bezoeken. Dit jaar wordt de assistentie uitgevoerd door vzw Intro.",21/07/2011,"14:00","23:00","AC Zuid, Woodrow Wilsonplein 1, Gent",0,100
"Straat 27","Werken van Nina Stoupina in haar eigen galerij.",18/07/2011,"14:00","18:00","Galerij Nina Stoupina, Burgstraat 101, Gent",1,50
"Vier zonder ruuk deur 't Spelleke van Dei Kluite","Een nieuwe revue, veur alle  gruute kientsjes die Gent kenne en Gents verstoan mee stijte muile Pierke Pierlala in d'uuftrolle.",22/07/2011,"22:00","23:30","Lakenmetershuis/Willemsfonds -Vrijdagsmarkt, Vrijdagmarkt 24-25, Gent",1,1000
"Evenement Druk onder stoom","Het MIAT heeft een indrukwekkende historische drukkerij. Enthousiaste vrijwilligers werken aan de drukmachines. Geniet ook van 'drukken' in filmfragmenten uit diverse documentaires en langspeelfilms.",19/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"Rondleidingen in Hotel d'Hane Steenhuyse","Uitzonderlijk kan het Hotel d'Hane Steenhuyse - een 18de-eeuws stadspaleis - onder begeleiding van een gids worden bezocht.",19/07/2011,"16:00","17:00","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,100
"Van kluchten en politiek: op stap met Karelke Waeri","Karel Waeri vermaakte in de 19e eeuw vriend en vijand met zijn volksliedjes, politiek geëngageerd of ronduit plat. Duik in de wereld van den Gentschen Béranger met zanger/accordeonist Wim Claeys. Met drankje en hapje.",16/07/2011,"16:00","18:00","Oude Beestenmarkt 1, Gent",0,50
"Filmvoorstelling 'The Age of STUPID'","THE AGE OF STUPID    De grootste klimaatfilm sinds ""An Inconvenient Truth""",19/07/2011,"15:30","17:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"Markt in voedingswaren - Sint-Michielsplein","Markt in voedingswaren",24/07/2011,"07:30","13:00","Sint-Michielsplein, Sint-Michielsplein , Gent",0,50
"Sucer Danser","Elektroparty - DJ's: Who Are We, Headz'Up",24/07/2011,"22:00","00:00","Tijuana, Schuurkenstraat 2, Gent",1,1000
"De generaelen staet van een goede famielde in Gent","Het publiek maakt enkele scènes mee uit het leven van graaf en gravin d'Hane de Steenhuyse en hun personeel in 1808.",19/07/2011,"10:30","12:30","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,50
"Ginds, tussen de netels","Dimitri Verhulst ontbeent Lorca's Bloedbruiloft en creërt er een totaal nieuwe voorstelling mee. Hij verplaatst de clanvete naar een denkbeeldig Belgisch dorp, 'de hoofdstad der brandnetels'.",19/07/2011,"21:00","22:30","Plantentuin UGent, Karel Lodewijk Ledeganckstraat 35, Gent",1,1000
"ALLADIN en de WONDERLAMP, poppentheater met Pierke van Gent","Poppentheater voor families met kinderen. Dit jaar wordt het Oosterse Sprookje 'Alladin en de Wonderlamp' opgevoerd, waar ook Pierke een belangrijke rol in speelt.  Het verhaal is gekend: Alladin een arme jongen wordt een Prins uit 1001 nachten.",23/07/2011,"14:30","16:15","François Laurent Instituut, Onderstraat 10, Gent",1,1000
"Tentoonstelling ""Die Essenz der Dinge""","In deze tentoonstelling staan designobjecten die ""de kunst van het reduceren""  illustreren centraal. Vormgeving herleiden tot het essentiële is van alle tijden, maar wat betekent dit in een periode van economische crisis?",22/07/2011,"10:00","18:00","Design Museum Gent, Jan Breydelstraat 5, Gent",0,1000
"Humor in Gentse volksmuziek (Freek Neirynck)","Freek Neirynck is een bijzonder veelzijdig man: hij is journalist, auteur en theaterman (o.m. bekend van Theater Taptoe). Lezing over humor in Gentse volksmuziek o.b.v.  zijn uitgebreide CD-collectie van Gentse volksmuziek.",21/07/2011,"19:30","21:00","Hof Van Ryhove, Onderstraat 20, Gent",1,100
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",22/07/2011,"15:00","15:45","Sint-Baafssite, Gandastraat , Gent",0,50
"Compelling Faces","een fototentoonstelling van Caroline ALIDA, Lieven NOLLET en Yan XINFA.  Los van elkaar heeft ieder van hen gedurende verschillende jaren portretten gemaakt van individuen die deel uitmaken van gemarginaliseerde groepen uit de samenleving.",16/07/2011,"10:00","17:00","Caermersklooster, Vrouwebroersstraat 6, Gent",0,50
"Tentoonstelling van 12 litho's van Willem Vermandere geïnspireerd op de Statenbijbel","Een rustpunt in de drukte, stilte en meditatie, rond 12 houtsneden van Willem Vermandere, tentoongesteld in een voormalige Capucijnenkapel (17e eeuw). Alle dagen open van 14u tot 18u. Meditatieve concerten op 17, 19, 21 en 23 juli, aanvang 17u.",16/07/2011,"14:00","18:00","Protestantse kerk Gent-Centrum, Brabantdam , Gent",0,50
"Doortocht","De hedendaagse troubadour Adriaan Van den Hoof is op doortocht door Gent. Train alvast uw lachspieren.",18/07/2011,"20:30","22:00","NTGent Schouwburg, Sint-Baafsplein 17, Gent",1,1000
"Grote Gentse Feesten wedstrijd","Via hints die her en der op ons terrein te vinden zijn, leer je meer over de geschiedenis van Malawi en kan je meedoen aan onze grote Gentse Feesten wedstrijd.",22/07/2011,"13:00","19:00","Wolterslaan 16, Sint-Amandsberg",0,50
"Het wordt zomer in de Arabische lente: van de Tunesische jasmijnrevolutie tot de bloedige oorlog in Libië en respressie in Syrië.","Over Arabische revoluties",23/07/2011,"14:00","18:00","Minnemeers (NT2Gent), Minnemeers 9, Gent",0,50
"'Rechtspraak en gerechtigheid.' Themarondleiding in het Stadhuis.","In het stadhuis werd vroeger recht gesproken. Opvallend is het labyrint in de Pacificatiezaal. Die banmijl kon een aantal keren worden afgelegd als straf voor sommige overtreders van de wet.",22/07/2011,"17:30","18:15","Stadhuis, Botermarkt 1, Gent",0,50
"Ginds, tussen de netels - NTGent (BE) - € 15 - € 18","Laat je meeslepen in deze hartverscheurende tragedie vol poëzie en rituelen, gedrenkt in een zuiderse vurigheid over een jonge bruid die op haar huwelijksdag ervan door gaat met haar minnaar. (De voorstelling loopt al vanaf 15 juli)",20/07/2011,"20:30","22:00","Plantentuin van de Universiteit Gent, Karel Lodewijk Ledeganckstraat 35, Gent",0,100
"Armoede is een troef","Arme biotopen vertonen een rijke biodiversiteit. Alleen daar waar de economisch gedreven mens zich bemoeit, verarmt de natuur drastisch. Ingang via Plantentuin",21/07/2011,"09:00","12:00","Museum voor Dierkunde, Karel Lodewijk Ledeganckstraat 35, Gent",0,50
"Boottocht met Hanneke Tanneke Toverheks + gratis ijsje. Duur 40 min.","Vaar mee met Hanneke Tanneke: een lelijke, vrolijke, superslordige heks die de Gentse wateren tijdens de Feesten onveilig maakt. Kleuters en kinderen tot 8 jaar helpen Hanneke om een heel speciale toverdrank te brouwen.",18/07/2011,"11:00","11:40","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,1000
"Rondleidingen in de Etnografische Verzamelingen: Levenswijsheid en geluk! Verrassende voorwerpen uit het traditionele China","Enthousiaste gidsen vertellen bijzondere verhalen over voorwerpen uit het vroegere China. Ga mee op avontuur in de rijke wereld van de Aziatische cultuur en kom in contact met de oosterse wijze van denken en leven en raak vertrouwd met hun esthetiek.",22/07/2011,"11:00","12:30","Het Pand, Onderbergen 1, Gent",0,50
"Sneukelen Deluxe","Pure verwennerij! De buurt rond de Kouter vormt het mondaine decor langsheen de lekkerste zoete sneukeltjes van de stad. Afspraak op “la place m'as-tu vu” om te zien en gezien te worden. We eindigen met een drankje op een mooie locatie.",23/07/2011,"16:30","18:30","Ingang Handelsbeurs, Kouter , Gent",0,50
"Camiel van Breedam, een modern kunstenaar op bezoek in de Etnografische Verzamelingen","De kunstenaar Camiel van Breedam laat zich inspireren door etnografische objecten. Kom een poëtisch deeltje van zijn oeuvre ontdekken en deel zijn verwondering. Wilt u meer weten over deze intrigerende dialoog tussen voorwerpen, vraag het gerust!",21/07/2011,"11:00","17:00","Het Pand, Onderbergen 1, Gent",0,50
"Kinderopvang & knutselatelier Casa Rosa","door de vrijwilligers (v/m) van Casa Rosa wordt dagelijkse kinderopvang georganiseerd, met knutsel activiteiten. Voor kleinere kinderen is er een luier ververs tafel voorzien.",18/07/2011,"14:00","18:00","Salon van Casa Rosa vzw, Kammerstraat 22, Gent",0,50
"Fietstocht: 7 werken van Barmhartigheid - gevangenen bezoeken","Een fietstocht over misdaad, straf en (al dan niet) vergiffenis door de eeuwen heen. Eigen fiets met slot meebrengen!",21/07/2011,"10:00","12:00","Geeraard de Duivelsteen, Maaseikstraat /, Gent",0,50
"Pop Up Animal Kids","Rock / Bluesy / Dynamic",20/07/2011,"03:00","04:00","Kinky Star, Vlasmarkt 9, Gent",0,50
"Muzikale verpozingen 2011 - Tentoonstelling - De horizon voorbij' - schilderwerken van Jan J.M. Van Saene (B - Lede)","In de zijbeuken van de Sint-Michielskerk is er een tentoonstelling rond kunst en religie met schilderwerken van Jan J.M. Van Saene. De tentoonstelling draagt de titel: 'De horizon voorbij'. Vrije toegang.",25/07/2011,"14:00","18:00","Sint-Michielskerk, Sint-Michielsplein 1, Gent",0,1000
"Naar den Congo!","'Naar den Congo!' geeft een overzicht van 100 jaar Broeders van Liefde in Congo. Het vertelt een verhaal van religieuze overtuiging en idealisme, diepe culturele barrières, opbouw en teloorgang, religieuzen en rebellen.",17/07/2011,"13:00","17:00","Museum Dr. Guislain, Jozef Guislainstraat 43, Gent",1,100
"Elga - Het Panopticum","Elga – Het Panopticum dompelt jou onder in de historiek van Gent waar revolutionaire figuren het voortouw namen. Dit levend museum vind je op de speelplaats van het SKI palend aan het Baudelohof. Een productie in samenwerking met het Vermeylenfonds.",19/07/2011,"18:00","18:40","secundair kunstintituut - speelplaats - ingang via Baudelohof, Ottogracht 4, Gent",0,50
"Ginds, tussen de netels","Dimitri Verhulst ontbeent Lorca's Bloedbruiloft en creërt er een totaal nieuwe voorstelling mee. Hij verplaatst de clanvete naar een denkbeeldig Belgisch dorp, 'de hoofdstad der brandnetels'.",16/07/2011,"21:00","22:30","Plantentuin UGent, Karel Lodewijk Ledeganckstraat 35, Gent",1,1000
"Carlos Rodriguez-Méndez | Agua Caliente/Hot Water","De Spaanse kunstenaar Carlos Rodríguez-Méndez plaatst een reusachtige minimale sculptuur in de Kunst Nu-ruimte van S.M.A.K.",24/07/2011,"10:00","18:00","S.M.A.K., Citadelpark 2, Gent",0,50
"Chansons à la carte met Guido Belcanto en Derek","Van Derek weten we al langer dat hij graag in het Frans zingt, maar dat ook Guido Belcanto een zwak heeft voor het Franse lied is een groter geheim! Samen met muzikanten Yves Meersschaert en Mario Vermandel brengen ze hun favoriete Franstalige chansons.",23/07/2011,"17:30","19:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"Sissie Parker With Dance Team: Trip Around The World (Travestie Revue)","Nieuwe travestie revue, Trip Around The World. Wij nemen U mee rond de wereld met een dance team en 3 travestie's, vol glitter, dans, en showkostuum's. Een 2 uur durend spektakel. Zaal voorzien van airco en gratis parking.",17/07/2011,"20:00","23:00","De Kring S.I.V.I, Maïsstraat 20, Gent",0,100
"Diafaan V. Hedendaagse glaskunst in het Sint-Elisabethbegijnhof te Sint-Amandsberg","Rondleiding in de tentoonstelling 'Diafaan V' waarbij op verschillende locaties in het begijnhof van Sint-Amandsberg, die voor de gelegenheid opengesteld zijn, glaskunstenaars hun werk tentoon stellen.",21/07/2011,"15:00","17:00","Begijnhofkerk Sint-Elisabeth, Groot Begijnhof 67, Sint-Amandsberg",0,50
"Expo","Naast zijn muziek brengt Osama in het Monasterium visual art met oude structuren, beelden en tekst van 4000 tot 5000 jaar oud.",22/07/2011,"09:00","23:30","Monasterium Poortackere, Oude Houtlei 56, Gent",1,100
"Inspirerende gospelavond met de Continentals","Het programma bestaat uit speciaal voor de Continentals geschreven liederen, in Continentalstijl gearrangeerde koorwerken en ook gearrangeerd werk van verschillende bekende gospelartiesten. Dit allemaal gebracht door een groep enthousiaste jongeren!",23/07/2011,"19:00","21:30","Evangelische kerk, Burgstraat 13, Gent",1,100
"De Bijlokesite - NIEUW!","Een plek waar studenten, muzikanten en bezoekers van het STAM te vinden zijn… Binnen de muren van deze site doen we het verhaal van haar vroegere bewoners en de historische gebouwen, tot de activiteiten en architectuur van vandaag.",19/07/2011,"14:30","16:00","Ingang STAM, Godshuizenlaan 2, Gent",0,50
